stopwords,stemmed,lemmatized
ab,ab,ab
aber,aber,aber
abg,abg,abg
abgegeben,abgegeb,abgeben
abgelehnt,abgelehnt,ablehnen
abgeordnete,abgeordnet,abgeordnet
abgeordneten,abgeordnet,abgeordnet
abgeordneter,abgeordnet,abgeordnet
abs,abs,abs
absicht,absicht,absicht
abstimmen,abstimm,abstimmen
abstimmung,abstimm,abstimmung
abzulehnen,abzulehn,ablehnen
aendern,aend,aendern
aenderung,aender,aenderung
aenderungsantrag,aenderungsantrag,aenderungsantrag
aktuellen,aktuell,aktuell
all,all,all
alle,all,all
allein,allein,allein
allem,all,alle
allen,all,alle
aller,all,all
allerdings,allerding,allerdings
alles,all,alle
allgemein,allgemein,allgemein
allgemeine,allgemein,allgemein
allgemeinen,allgemein,allgemein
als,als,als
also,also,also
alten,alt,alt
am,am,am
an,an,an
ander,and,ander
andere,and,ander
anderem,and,ander
anderen,and,ander
anderer,and,ander
andererseits,andererseit,andererseits
anderes,and,ander
anderm,anderm,anderm
andern,and,andern
anderr,anderr,anderr
anders,and,anders
anfang,anfang,anfang
anfrage,anfrag,anfrage
angeht,angeht,angehen
angelegenheit,angeleg,angelegenheit
angenommen,angenomm,annehmen
angesichts,angesicht,angesichts
angesprochen,angesproch,ansprechen
anlage,anlag,anlage
anlass,anlass,anlass
anliegen,anlieg,anliegen
annahme,annahm,annahme
annehmen,annehm,annehmen
ansatz,ansatz,ansatz
ansicht,ansicht,ansicht
anspruch,anspruch,anspruch
anteil,anteil,anteil
antraege,antraeg,antraege
antrag,antrag,antrag
antrage,antrag,antrage
antrags,antrag,antrags
antwort,antwort,antwort
antworten,antwort,antworten
april,april,april
arbeit,arbeit,arbeit
arbeiten,arbeit,arbeiten
arbeitnehmer,arbeitnehm,arbeitnehmer
arbeitsplaetze,arbeitsplaetz,arbeitsplaetze
art,art,art
artikel,artikel,artikel
auch,auch,auch
auf,auf,auf
auffassung,auffass,auffassung
aufgabe,aufgab,aufgabe
aufgaben,aufgab,aufgaben
aufgrund,aufgrund,aufgrund
aufmerksam,aufmerksam,aufmerksam
aufmerksamkeit,aufmerksam,aufmerksamkeit
auftrag,auftrag,auftrag
augen,aug,augen
augenblick,augenblick,augenblick
august,august,august
aus,aus,aus
ausdruck,ausdruck,ausdruck
ausdrucklich,ausdruck,ausdrucklich
ausdruecklich,ausdrueck,ausdruecklich
ausfuehrungen,ausfuehr,ausfuehrungen
ausgaben,ausgab,ausgaben
ausgefuehrt,ausgefuehrt,ausgefuehrt
ausgehen,ausgeh,ausgehen
ausgesprochen,ausgesproch,aussprechen
